clientes;status;genero;compras;regiao;pagto;qtde;pedido;amostras
689;0;1;2;1;1;1;400;Teste
690;0;0;8;0;1;3;500;Treino
691;0;0;7;0;1;1;400;Teste
692;0;0;1;1;1;3;400;Teste
693;0;0;1;1;1;1;300;Teste
694;0;1;1;0;1;5;700;Teste
695;0;0;1;0;1;2;500;Teste
696;0;0;1;0;1;1;600;Treino
697;0;0;3;1;1;4;400;Teste
698;0;0;3;1;1;1;100;Teste
699;0;0;1;0;1;2;100;Treino
700;0;0;1;0;1;6;1000;Treino
701;0;0;3;0;1;2;300;Treino
702;0;0;2;0;1;6;1000;Teste
703;0;1;1;0;1;1;200;Treino
704;0;0;4;0;1;2;1000;Teste
705;0;0;1;0;1;3;90;Treino
706;0;0;1;0;1;2;400;Treino
707;0;0;2;0;1;9;2000;Treino
708;0;0;2;0;1;1;100;Treino
709;0;0;1;0;1;1;100;Teste
710;0;0;1;0;1;1;200;Treino
711;0;0;6;1;1;1;100;Treino
712;0;0;1;0;1;1;100;Teste
713;0;0;1;1;1;1;100;Teste
714;0;0;1;0;1;1;100;Teste
715;0;0;6;1;1;1;100;Teste
716;0;0;5;0;1;6;1000;Treino
717;0;0;1;0;1;2;500;Teste
718;0;0;3;1;1;5;1000;Treino
719;0;0;1;0;1;3;300;Treino
720;0;0;1;1;1;1;400;Teste
721;1;0;1;0;1;1;200;Treino
722;0;0;1;0;1;2;400;Teste
723;0;0;3;1;1;1;300;Teste
724;0;0;1;0;1;1;500;Teste
725;0;0;1;0;1;2;400;Treino
726;0;0;3;1;1;1;400;Treino
727;0;0;1;1;1;2;600;Teste
728;0;0;1;0;1;2;400;Teste
729;0;0;1;0;1;1;300;Treino
730;0;0;1;1;1;1;100;Treino
